KEY,PORT,BUNDLE,LANE,NUMOFBITS,CAPTURENAME (originalName=sequence_merged_CMEM_pcie_8b_com_bcast_prbs7_dnelb_Gen1__class.csv)
class_edc_g3,pcie,-,L0,1,cfg_pcs_dfx_status1_b14_b14___PCS_pcs_dword60__1
class_edc_g3,pcie,-,L0,17,cfg_pcs_dfx_status1_b31_b15___PCS_pcs_dword60__1
class_edc_g3,pcie,-,L3,5,cfg_pcs_dfx_status1_b4_b0___PCS_pcs_dword60__1
class_edc_g3,pcie,-,L3,9,cfg_pcs_dfx_status1_b13_b5___PCS_pcs_dword60__1
class_edc_g3,pcie,-,L3,1,cfg_pcs_dfx_status1_b14_b14___PCS_pcs_dword60__1
class_edc_g3,pcie,-,L3,17,cfg_pcs_dfx_status1_b31_b15___PCS_pcs_dword60__1
class_edc_g3,pcie,-,L2,5,cfg_pcs_dfx_status1_b4_b0___PCS_pcs_dword60__1
class_edc_g3,pcie,-,L2,9,cfg_pcs_dfx_status1_b13_b5___PCS_pcs_dword60__1
class_edc_g3,pcie,-,L2,1,cfg_pcs_dfx_status1_b14_b14___PCS_pcs_dword60__1
class_edc_g3,pcie,-,L2,17,cfg_pcs_dfx_status1_b31_b15___PCS_pcs_dword60__1
class_edc_g3,pcie,-,L1,5,cfg_pcs_dfx_status1_b4_b0___PCS_pcs_dword60__1
class_edc_g3,pcie,-,L1,9,cfg_pcs_dfx_status1_b13_b5___PCS_pcs_dword60__1
class_edc_g3,pcie,-,L1,1,cfg_pcs_dfx_status1_b14_b14___PCS_pcs_dword60__1
class_edc_g3,pcie,-,L1,17,cfg_pcs_dfx_status1_b31_b15___PCS_pcs_dword60__1
class_edc_g3,pcie,-,L0,5,cfg_pcs_dfx_status1_b4_b0___PCS_pcs_dword60__2
class_edc_g3,pcie,-,L0,9,cfg_pcs_dfx_status1_b13_b5___PCS_pcs_dword60__2
class_edc_g3,pcie,-,L0,1,cfg_pcs_dfx_status1_b14_b14___PCS_pcs_dword60__2
class_edc_g3,pcie,-,L0,17,cfg_pcs_dfx_status1_b31_b15___PCS_pcs_dword60__2
class_edc_g3,pcie,-,L1,5,cfg_pcs_dfx_status1_b4_b0___PCS_pcs_dword60__2
class_edc_g3,pcie,-,L1,9,cfg_pcs_dfx_status1_b13_b5___PCS_pcs_dword60__2
class_edc_g3,pcie,-,L1,1,cfg_pcs_dfx_status1_b14_b14___PCS_pcs_dword60__2
class_edc_g3,pcie,-,L1,17,cfg_pcs_dfx_status1_b31_b15___PCS_pcs_dword60__2
class_edc_g3,pcie,-,L2,5,cfg_pcs_dfx_status1_b4_b0___PCS_pcs_dword60__2
class_edc_g3,pcie,-,L2,9,cfg_pcs_dfx_status1_b13_b5___PCS_pcs_dword60__2
class_edc_g3,pcie,-,L2,1,cfg_pcs_dfx_status1_b14_b14___PCS_pcs_dword60__2
class_edc_g3,pcie,-,L2,17,cfg_pcs_dfx_status1_b31_b15___PCS_pcs_dword60__2
class_edc_g3,pcie,-,L3,5,cfg_pcs_dfx_status1_b4_b0___PCS_pcs_dword60__2
class_edc_g3,pcie,-,L3,9,cfg_pcs_dfx_status1_b13_b5___PCS_pcs_dword60__2
class_edc_g3,pcie,-,L3,1,cfg_pcs_dfx_status1_b14_b14___PCS_pcs_dword60__2
class_edc_g3,pcie,-,L3,17,cfg_pcs_dfx_status1_b31_b15___PCS_pcs_dword60__2
class_edc_g3,pcie,-,L0,5,cfg_pcs_dfx_status1_b4_b0___PCS_pcs_dword60__3
class_edc_g3,pcie,-,L0,9,cfg_pcs_dfx_status1_b13_b5___PCS_pcs_dword60__3
class_edc_g3,pcie,-,L0,1,cfg_pcs_dfx_status1_b14_b14___PCS_pcs_dword60__3
class_edc_g3,pcie,-,L0,17,cfg_pcs_dfx_status1_b31_b15___PCS_pcs_dword60__3
class_edc_g3,pcie,-,L3,5,cfg_pcs_dfx_status1_b4_b0___PCS_pcs_dword60__3
class_edc_g3,pcie,-,L3,9,cfg_pcs_dfx_status1_b13_b5___PCS_pcs_dword60__3
class_edc_g3,pcie,-,L3,1,cfg_pcs_dfx_status1_b14_b14___PCS_pcs_dword60__3
class_edc_g3,pcie,-,L3,17,cfg_pcs_dfx_status1_b31_b15___PCS_pcs_dword60__3
class_edc_g3,pcie,-,L2,5,cfg_pcs_dfx_status1_b4_b0___PCS_pcs_dword60__3
class_edc_g3,pcie,-,L2,9,cfg_pcs_dfx_status1_b13_b5___PCS_pcs_dword60__3
class_edc_g3,pcie,-,L2,1,cfg_pcs_dfx_status1_b14_b14___PCS_pcs_dword60__3
class_edc_g3,pcie,-,L2,17,cfg_pcs_dfx_status1_b31_b15___PCS_pcs_dword60__3
class_edc_g3,pcie,-,L1,5,cfg_pcs_dfx_status1_b4_b0___PCS_pcs_dword60__3
class_edc_g3,pcie,-,L1,9,cfg_pcs_dfx_status1_b13_b5___PCS_pcs_dword60__3
class_edc_g3,pcie,-,L1,1,cfg_pcs_dfx_status1_b14_b14___PCS_pcs_dword60__3
class_edc_g3,pcie,-,L1,17,cfg_pcs_dfx_status1_b31_b15___PCS_pcs_dword60__3
class_edc_g3,pcie,-,L0,4,cfg_pmd_lane_dsp_ro_rx_seq_ro_b3_b0___PMD_LANE_DSP_RO_DSP_RO_REG_19__2
class_edc_g3,pcie,-,L0,4,cfg_pmd_lane_dsp_ro_rx_seq_ro_b7_b4___PMD_LANE_DSP_RO_DSP_RO_REG_19__2
class_edc_g3,pcie,-,L0,4,cfg_pmd_lane_dsp_ro_rx_seq_ro_b11_b8___PMD_LANE_DSP_RO_DSP_RO_REG_19__2
class_edc_g3,pcie,-,L0,20,cfg_pmd_lane_dsp_ro_rx_seq_ro_b31_b12___PMD_LANE_DSP_RO_DSP_RO_REG_19__2
class_edc_g3,pcie,-,L3,4,cfg_pmd_lane_dsp_ro_rx_seq_ro_b3_b0___PMD_LANE_DSP_RO_DSP_RO_REG_19__2
class_edc_g3,pcie,-,L3,4,cfg_pmd_lane_dsp_ro_rx_seq_ro_b7_b4___PMD_LANE_DSP_RO_DSP_RO_REG_19__2
class_edc_g3,pcie,-,L3,4,cfg_pmd_lane_dsp_ro_rx_seq_ro_b11_b8___PMD_LANE_DSP_RO_DSP_RO_REG_19__2
class_edc_g3,pcie,-,L3,20,cfg_pmd_lane_dsp_ro_rx_seq_ro_b31_b12___PMD_LANE_DSP_RO_DSP_RO_REG_19__2
class_edc_g3,pcie,-,L2,4,cfg_pmd_lane_dsp_ro_rx_seq_ro_b3_b0___PMD_LANE_DSP_RO_DSP_RO_REG_19__2
class_edc_g3,pcie,-,L2,4,cfg_pmd_lane_dsp_ro_rx_seq_ro_b7_b4___PMD_LANE_DSP_RO_DSP_RO_REG_19__2
class_edc_g3,pcie,-,L2,4,cfg_pmd_lane_dsp_ro_rx_seq_ro_b11_b8___PMD_LANE_DSP_RO_DSP_RO_REG_19__2
class_edc_g3,pcie,-,L2,20,cfg_pmd_lane_dsp_ro_rx_seq_ro_b31_b12___PMD_LANE_DSP_RO_DSP_RO_REG_19__2
class_edc_g3,pcie,-,L1,4,cfg_pmd_lane_dsp_ro_rx_seq_ro_b3_b0___PMD_LANE_DSP_RO_DSP_RO_REG_19__2
class_edc_g3,pcie,-,L1,4,cfg_pmd_lane_dsp_ro_rx_seq_ro_b7_b4___PMD_LANE_DSP_RO_DSP_RO_REG_19__2
class_edc_g3,pcie,-,L1,4,cfg_pmd_lane_dsp_ro_rx_seq_ro_b11_b8___PMD_LANE_DSP_RO_DSP_RO_REG_19__2
class_edc_g3,pcie,-,L1,20,cfg_pmd_lane_dsp_ro_rx_seq_ro_b31_b12___PMD_LANE_DSP_RO_DSP_RO_REG_19__2
class_edc_g3,pcie,-,L0,24,cfg_pcs_dfx_cri_errcnt___PCS_pcs_dword34__1
class_edc_g3,pcie,-,L0,1,cfg_pcs_dfx_cri_lcetrainactive___PCS_pcs_dword34__1
class_edc_g3,pcie,-,L0,1,cfg_pcs_dfx_cri_lcetraindone___PCS_pcs_dword34__1
class_edc_g3,pcie,-,L0,1,cfg_pcs_dfx_cri_patgenactive___PCS_pcs_dword34__1
class_edc_g3,pcie,-,L0,1,cfg_pcs_dfx_cri_patchkactive___PCS_pcs_dword34__1
class_edc_g3,pcie,-,L0,1,cfg_pcs_dfx_cri_patbufallfail___PCS_pcs_dword34__1
class_edc_g3,pcie,-,L0,1,cfg_pcs_reserved___PCS_pcs_dword34__1
class_edc_g3,pcie,-,L0,1,cfg_pcs_dfx_cri_lcemgnerr___PCS_pcs_dword34__1
class_edc_g3,pcie,-,L0,1,cfg_pcs_dfx_cri_lcerxtraincntdone___PCS_pcs_dword34__1
class_edc_g3,pcie,-,L0,1,cfg_pcs_rx_init_done_rcvd___PCS_pcs_dword46__1
class_edc_g3,pcie,-,L0,1,cfg_pcs_tx_init_done_rcvd___PCS_pcs_dword46__1
class_edc_g3,pcie,-,L0,1,cfg_pcs_rx_powerchange_complete___PCS_pcs_dword46__1
class_edc_g3,pcie,-,L0,1,cfg_pcs_tx_powerchange_complete___PCS_pcs_dword46__1
class_edc_g3,pcie,-,L0,1,cfg_pcs_rxstandbystatus___PCS_pcs_dword46__1
class_edc_g3,pcie,-,L0,11,cfg_pcs_reserved___PCS_pcs_dword46__1
class_edc_g3,pcie,-,L0,8,cfg_pcs_dfx_cri_errcnt_31_24___PCS_pcs_dword46__1
class_edc_g3,pcie,-,L0,8,cfg_pcs_i_cri_indx41_1___PCS_pcs_dword46__1
class_edc_g3,pcie,-,L1,24,cfg_pcs_dfx_cri_errcnt___PCS_pcs_dword34__1
class_edc_g3,pcie,-,L1,1,cfg_pcs_dfx_cri_lcetrainactive___PCS_pcs_dword34__1
class_edc_g3,pcie,-,L1,1,cfg_pcs_dfx_cri_lcetraindone___PCS_pcs_dword34__1
class_edc_g3,pcie,-,L1,1,cfg_pcs_dfx_cri_patgenactive___PCS_pcs_dword34__1
class_edc_g3,pcie,-,L1,1,cfg_pcs_dfx_cri_patchkactive___PCS_pcs_dword34__1
class_edc_g3,pcie,-,L1,1,cfg_pcs_dfx_cri_patbufallfail___PCS_pcs_dword34__1
class_edc_g3,pcie,-,L1,1,cfg_pcs_reserved___PCS_pcs_dword34__1
class_edc_g3,pcie,-,L1,1,cfg_pcs_dfx_cri_lcemgnerr___PCS_pcs_dword34__1
class_edc_g3,pcie,-,L1,1,cfg_pcs_dfx_cri_lcerxtraincntdone___PCS_pcs_dword34__1
class_edc_g3,pcie,-,L1,1,cfg_pcs_rx_init_done_rcvd___PCS_pcs_dword46__1
class_edc_g3,pcie,-,L1,1,cfg_pcs_tx_init_done_rcvd___PCS_pcs_dword46__1
class_edc_g3,pcie,-,L1,1,cfg_pcs_rx_powerchange_complete___PCS_pcs_dword46__1
class_edc_g3,pcie,-,L1,1,cfg_pcs_tx_powerchange_complete___PCS_pcs_dword46__1
class_edc_g3,pcie,-,L1,1,cfg_pcs_rxstandbystatus___PCS_pcs_dword46__1
class_edc_g3,pcie,-,L1,11,cfg_pcs_reserved___PCS_pcs_dword46__1
class_edc_g3,pcie,-,L1,8,cfg_pcs_dfx_cri_errcnt_31_24___PCS_pcs_dword46__1
class_edc_g3,pcie,-,L1,8,cfg_pcs_i_cri_indx41_1___PCS_pcs_dword46__1
class_edc_g3,pcie,-,L2,24,cfg_pcs_dfx_cri_errcnt___PCS_pcs_dword34__1
class_edc_g3,pcie,-,L2,1,cfg_pcs_dfx_cri_lcetrainactive___PCS_pcs_dword34__1
class_edc_g3,pcie,-,L2,1,cfg_pcs_dfx_cri_lcetraindone___PCS_pcs_dword34__1
class_edc_g3,pcie,-,L2,1,cfg_pcs_dfx_cri_patgenactive___PCS_pcs_dword34__1
class_edc_g3,pcie,-,L2,1,cfg_pcs_dfx_cri_patchkactive___PCS_pcs_dword34__1
class_edc_g3,pcie,-,L2,1,cfg_pcs_dfx_cri_patbufallfail___PCS_pcs_dword34__1
class_edc_g3,pcie,-,L2,1,cfg_pcs_reserved___PCS_pcs_dword34__1
class_edc_g3,pcie,-,L2,1,cfg_pcs_dfx_cri_lcemgnerr___PCS_pcs_dword34__1
class_edc_g3,pcie,-,L2,1,cfg_pcs_dfx_cri_lcerxtraincntdone___PCS_pcs_dword34__1
class_edc_g3,pcie,-,L2,1,cfg_pcs_rx_init_done_rcvd___PCS_pcs_dword46__1
class_edc_g3,pcie,-,L2,1,cfg_pcs_tx_init_done_rcvd___PCS_pcs_dword46__1
class_edc_g3,pcie,-,L2,1,cfg_pcs_rx_powerchange_complete___PCS_pcs_dword46__1
class_edc_g3,pcie,-,L2,1,cfg_pcs_tx_powerchange_complete___PCS_pcs_dword46__1
class_edc_g3,pcie,-,L2,1,cfg_pcs_rxstandbystatus___PCS_pcs_dword46__1
class_edc_g3,pcie,-,L2,11,cfg_pcs_reserved___PCS_pcs_dword46__1
class_edc_g3,pcie,-,L2,8,cfg_pcs_dfx_cri_errcnt_31_24___PCS_pcs_dword46__1
class_edc_g3,pcie,-,L2,8,cfg_pcs_i_cri_indx41_1___PCS_pcs_dword46__1
class_edc_g3,pcie,-,L3,24,cfg_pcs_dfx_cri_errcnt___PCS_pcs_dword34__1
class_edc_g3,pcie,-,L3,1,cfg_pcs_dfx_cri_lcetrainactive___PCS_pcs_dword34__1
class_edc_g3,pcie,-,L3,1,cfg_pcs_dfx_cri_lcetraindone___PCS_pcs_dword34__1
class_edc_g3,pcie,-,L3,1,cfg_pcs_dfx_cri_patgenactive___PCS_pcs_dword34__1
class_edc_g3,pcie,-,L3,1,cfg_pcs_dfx_cri_patchkactive___PCS_pcs_dword34__1
class_edc_g3,pcie,-,L3,1,cfg_pcs_dfx_cri_patbufallfail___PCS_pcs_dword34__1
class_edc_g3,pcie,-,L3,1,cfg_pcs_reserved___PCS_pcs_dword34__1
class_edc_g3,pcie,-,L3,1,cfg_pcs_dfx_cri_lcemgnerr___PCS_pcs_dword34__1
class_edc_g3,pcie,-,L3,1,cfg_pcs_dfx_cri_lcerxtraincntdone___PCS_pcs_dword34__1
class_edc_g3,pcie,-,L3,1,cfg_pcs_rx_init_done_rcvd___PCS_pcs_dword46__1
class_edc_g3,pcie,-,L3,1,cfg_pcs_tx_init_done_rcvd___PCS_pcs_dword46__1
class_edc_g3,pcie,-,L3,1,cfg_pcs_rx_powerchange_complete___PCS_pcs_dword46__1
class_edc_g3,pcie,-,L3,1,cfg_pcs_tx_powerchange_complete___PCS_pcs_dword46__1
class_edc_g3,pcie,-,L3,1,cfg_pcs_rxstandbystatus___PCS_pcs_dword46__1
class_edc_g3,pcie,-,L3,11,cfg_pcs_reserved___PCS_pcs_dword46__1
class_edc_g3,pcie,-,L3,8,cfg_pcs_dfx_cri_errcnt_31_24___PCS_pcs_dword46__1
class_edc_g3,pcie,-,L3,8,cfg_pcs_i_cri_indx41_1___PCS_pcs_dword46__1
